t	x[0]	x[1]
0.000000	0.000000	0.000000
0.100000	1.013594	0.307338
0.200000	1.074184	0.635290
0.300000	1.185258	0.992791
0.400000	1.351677	1.389543
0.500000	1.579801	1.836248
0.600000	1.877650	2.344853
0.700000	2.255104	2.928841
0.800000	2.724147	3.603539
0.900000	3.299157	4.386479
1.000000	3.997260	5.297805
1.100000	4.838736	6.360733
1.200000	5.847509	7.602091
1.300000	7.051711	9.052927
1.400000	8.484349	10.749221
1.500000	10.184083	12.732703
1.600000	12.196122	15.051794
1.700000	14.573288	17.762701
1.800000	17.377227	20.930686
1.900000	20.679841	24.631524
2.000000	24.564937	28.953207
